frame_number,Time,avg_u,avg_v
1,0.03333077629163388,0.0,0.0,23
2,0.06666155258326777,0.0,0.026,46
3,0.09999232887490164,-0.009,0.026,68
4,0.13332310516653553,-0.007,0.033,91
5,0.16665388145816942,0.005,0.036,116
6,0.19998465774980329,0.001,0.034,140
7,0.23331543404143718,0.012,0.04,166
8,0.26664621033307107,0.02,0.044,191
9,0.29997698662470496,0.023,0.045,214
10,0.33330776291633885,0.026,0.046,237
11,0.3666385392079727,0.026,0.044,258
12,0.39996931549960657,0.029,0.045,279
13,0.43330009179124046,0.034,0.046,300
14,0.46663086808287435,0.036,0.047,321
15,0.49996164437450824,0.04,0.047,343
16,0.5332924206661421,0.043,0.048,365
17,0.566623196957776,0.047,0.048,386
18,0.5999539732494099,0.051,0.047,407
19,0.6332847495410437,0.055,0.044,429
20,0.6666155258326777,0.054,0.042,452
21,0.6999463021243115,0.054,0.043,475
22,0.7332770784159454,0.051,0.042,497
23,0.7666078547075793,0.05,0.042,520
24,0.7999386309992131,0.05,0.042,542
25,0.8332694072908471,0.051,0.041,562
26,0.8666001835824809,0.051,0.039,582
27,0.8999309598741149,0.052,0.037,604
28,0.9332617361657487,0.053,0.034,628
29,0.9665925124573825,0.044,0.033,651
30,0.9999232887490165,0.038,0.035,672
31,1.0332540650406503,0.032,0.035,693
32,1.0665848413322843,0.028,0.036,717
33,1.0999156176239182,0.024,0.034,740
34,1.133246393915552,0.02,0.032,762
35,1.1665771702071859,0.017,0.03,784
36,1.1999079464988198,0.014,0.029,805
37,1.2332387227904535,0.012,0.028,828
38,1.2665694990820875,0.01,0.027,851
39,1.2999002753737214,0.008,0.026,874
40,1.3332310516653554,0.006,0.026,897
41,1.366561827956989,0.005,0.026,920
42,1.399892604248623,0.004,0.025,942
43,1.433223380540257,0.004,0.026,963
44,1.4665541568318907,0.003,0.026,985
45,1.4998849331235247,0.003,0.025,1007
46,1.5332157094151586,0.002,0.025,1029
47,1.5665464857067926,0.001,0.024,1050
48,1.5998772619984263,-0.001,0.021,1071
49,1.6332080382900602,-0.003,0.018,1092
50,1.6665388145816942,-0.006,0.015,1112
51,1.699869590873328,-0.008,0.011,1132
52,1.7332003671649618,-0.01,0.009,1153
53,1.7665311434565958,-0.012,0.007,1177
54,1.7998619197482297,-0.014,0.005,1199
55,1.8331926960398635,-0.015,0.003,1221
56,1.8665234723314974,-0.015,0.002,1245
57,1.8998542486231313,-0.016,0.0,1267
58,1.933185024914765,-0.017,-0.002,1290
59,1.966515801206399,-0.017,-0.003,1311
60,1.999846577498033,-0.017,-0.005,1332
61,2.0331773537896667,-0.016,-0.007,1353
62,2.0665081300813006,-0.016,-0.008,1374
63,2.0998389063729346,-0.016,-0.01,1396
64,2.1331696826645685,-0.016,-0.012,1418
65,2.1665004589562025,-0.015,-0.013,1439
66,2.1998312352478364,-0.015,-0.013,1460
67,2.23316201153947,-0.015,-0.014,1482
68,2.266492787831104,-0.014,-0.015,1503
69,2.299823564122738,-0.014,-0.017,1524
70,2.3331543404143718,-0.014,-0.016,1545
71,2.3664851167060057,-0.013,-0.016,1566
72,2.3998158929976396,-0.014,-0.017,1586
73,2.4331466692892736,-0.015,-0.017,1606
74,2.466477445580907,-0.015,-0.018,1625
75,2.499808221872541,-0.015,-0.019,1644
76,2.533138998164175,-0.015,-0.019,1663
77,2.566469774455809,-0.015,-0.02,1682
78,2.599800550747443,-0.015,-0.019,1700
79,2.633131327039077,-0.015,-0.019,1717
80,2.6664621033307108,-0.016,-0.018,1736
81,2.6997928796223443,-0.016,-0.019,1757
82,2.733123655913978,-0.017,-0.019,1776
83,2.766454432205612,-0.018,-0.019,1795
84,2.799785208497246,-0.018,-0.019,1814
85,2.83311598478888,-0.019,-0.02,1835
86,2.866446761080514,-0.02,-0.021,1857
87,2.899777537372148,-0.02,-0.021,1879
88,2.9331083136637814,-0.02,-0.021,1900
89,2.9664390899554154,-0.022,-0.02,1920
90,2.9997698662470493,-0.024,-0.019,1941
91,3.0331006425386833,-0.025,-0.018,1961
92,3.0664314188303172,-0.027,-0.018,1981
93,3.099762195121951,-0.028,-0.017,2001
94,3.133092971413585,-0.03,-0.016,2022
95,3.1664237477052186,-0.031,-0.015,2042
96,3.1997545239968526,-0.032,-0.015,2062
97,3.2330853002884865,-0.033,-0.014,2083
98,3.2664160765801205,-0.033,-0.013,2103
99,3.2997468528717544,-0.033,-0.012,2124
100,3.3330776291633883,-0.033,-0.012,2145
101,3.3664084054550223,-0.033,-0.011,2167
102,3.399739181746656,-0.034,-0.011,2188
103,3.4330699580382897,-0.033,-0.01,2210
104,3.4664007343299237,-0.034,-0.01,2230
105,3.4997315106215576,-0.034,-0.01,2249
106,3.5330622869131916,-0.034,-0.01,2270
107,3.5663930632048255,-0.034,-0.009,2291
108,3.5997238394964595,-0.035,-0.008,2313
109,3.633054615788093,-0.036,-0.008,2334
110,3.666385392079727,-0.037,-0.008,2354
111,3.699716168371361,-0.037,-0.008,2375
112,3.733046944662995,-0.037,-0.008,2396
113,3.7663777209546287,-0.037,-0.007,2417
114,3.7997084972462627,-0.039,-0.007,2440
115,3.8330392735378966,-0.04,-0.008,2462
116,3.86637004982953,-0.041,-0.008,2481
117,3.899700826121164,-0.041,-0.008,2500
118,3.933031602412798,-0.042,-0.008,2519
119,3.966362378704432,-0.043,-0.009,2539
120,3.999693154996066,-0.045,-0.008,2560
121,4.033023931287699,-0.046,-0.008,2581
122,4.066354707579333,-0.047,-0.01,2603
123,4.099685483870967,-0.048,-0.011,2623
124,4.133016260162601,-0.048,-0.011,2644
125,4.166347036454235,-0.049,-0.012,2665
126,4.199677812745869,-0.05,-0.012,2685
127,4.233008589037503,-0.05,-0.012,2706
128,4.266339365329137,-0.05,-0.012,2726
129,4.299670141620771,-0.051,-0.012,2745
130,4.333000917912405,-0.066,-0.01,2765
131,4.366331694204039,-0.066,-0.01,2787
132,4.399662470495673,-0.066,-0.009,2808
133,4.432993246787307,-0.066,-0.008,2831
134,4.46632402307894,-0.066,-0.008,2853
135,4.499654799370574,-0.066,-0.007,2874
136,4.532985575662208,-0.067,-0.006,2896
