1,frame_number,Time,avg_u,avg_v,feature_matching
2,1,0.03462513661202186,0.0,0.0,74
3,2,0.06925027322404372,-1.133,-0.895,81
4,3,0.10387540983606558,-0.918,-0.976,84
5,4,0.13850054644808743,0.89,-2.681,77
6,5,0.17312568306010928,0.755,-0.638,82
7,6,0.20775081967213116,0.656,-0.192,80
8,7,0.242375956284153,0.965,-0.453,73
9,8,0.27700109289617486,1.155,-0.86,80
10,9,0.31162622950819674,0.156,0.0,79
11,10,0.34625136612021856,0.975,0.5,89
12,11,0.38087650273224044,1.079,0.002,75
13,12,0.4155016393442623,0.574,-0.818,73
14,13,0.45012677595628414,0.249,-1.617,83
15,14,0.484751912568306,-0.299,-0.032,79
16,15,0.5193770491803279,1.556,1.003,76
17,16,0.5540021857923497,1.251,1.127,81
18,17,0.5886273224043715,0.417,-0.973,77
19,18,0.6232524590163935,0.608,0.097,75
20,19,0.6578775956284153,-0.216,-1.03,66
21,20,0.6925027322404371,0.603,-1.182,66
22,21,0.7271278688524591,-0.245,-1.013,74
23,22,0.7617530054644809,15.965,-2.897,80
24,23,0.7963781420765027,19.935,-1.866,82
25,24,0.8310032786885246,22.818,-2.65,82
26,25,0.8656284153005465,21.346,-1.056,79
27,26,0.9002535519125683,23.08,-4.411,79
28,27,0.9348786885245902,23.128,-2.658,72
29,28,0.969503825136612,23.803,-1.807,78
30,29,1.004128961748634,22.929,-3.386,81
31,30,1.0387540983606558,22.622,-2.634,84
32,31,1.0733792349726776,23.707,-4.372,79
33,32,1.1080043715846994,24.893,-3.8,86
34,33,1.1426295081967213,22.859,-2.114,76
35,34,1.177254644808743,23.875,-1.89,68
36,35,1.2118797814207651,23.414,-1.346,75
37,36,1.246504918032787,23.219,-0.932,78
38,37,1.2811300546448088,22.904,-1.128,79
39,38,1.3157551912568306,23.402,-1.623,83
40,39,1.3503803278688524,23.876,-1.668,77
41,40,1.3850054644808742,23.623,-1.104,83
42,41,1.4196306010928963,22.965,-2.016,81
43,42,1.4542557377049181,23.106,-2.462,78
44,43,1.48888087431694,21.516,-2.912,83
45,44,1.5235060109289618,22.14,-2.016,83
46,45,1.5581311475409836,23.862,-0.6,76
47,46,1.5927562841530054,23.262,-2.122,75
48,47,1.6273814207650272,22.964,-0.269,74
49,48,1.6620065573770493,22.454,-4.367,76
50,49,1.696631693989071,22.796,-1.903,78
51,50,1.731256830601093,23.433,-1.608,83
52,51,1.7658819672131147,22.576,-3.081,75
53,52,1.8005071038251366,22.537,-1.753,64
54,53,1.8351322404371584,23.463,-2.004,71
55,54,1.8697573770491804,22.343,-3.371,80
56,55,1.9043825136612023,22.519,-1.683,74
57,56,1.939007650273224,23.707,-1.774,83
58,57,1.973632786885246,22.608,-2.758,81
59,58,2.008257923497268,21.737,-2.614,89
60,59,2.0428830601092898,22.243,-2.578,73
61,60,2.0775081967213116,22.704,-1.721,78
62,61,2.1121333333333334,22.619,-3.224,75
63,62,2.1467584699453552,23.105,-2.41,77
64,63,2.181383606557377,22.589,-2.215,76
65,64,2.216008743169399,24.095,-1.196,75
66,65,2.2506338797814207,21.432,-0.76,85
67,66,2.2852590163934425,22.317,-2.231,79
68,67,2.3198841530054644,22.198,-1.906,73
69,68,2.354509289617486,22.96,-2.55,85
70,69,2.389134426229508,22.914,-1.863,80
71,70,2.4237595628415303,22.718,-2.061,77
72,71,2.458384699453552,22.488,-1.842,78
73,72,2.493009836065574,22.587,-2.403,82
74,73,2.5276349726775957,23.004,-1.879,80
75,74,2.5622601092896176,23.571,-1.624,79
76,75,2.5968852459016394,21.094,-1.742,79
77,76,2.631510382513661,22.889,-2.03,71
78,77,2.666135519125683,23.385,-3.195,76
79,78,2.700760655737705,22.018,-1.794,70
80,79,2.7353857923497267,22.426,-1.745,78
81,80,2.7700109289617485,23.39,-3.118,77
82,81,2.8046360655737703,22.864,-2.631,76
83,82,2.8392612021857926,23.447,-3.041,74
84,83,2.8738863387978144,22.845,-4.126,81
85,84,2.9085114754098362,23.992,-3.716,69
86,85,2.943136612021858,23.395,-0.949,78
87,86,2.97776174863388,21.083,-2.843,72
88,87,3.0123868852459017,22.673,-2.704,67
89,88,3.0470120218579235,22.45,-2.073,82
90,89,3.0816371584699453,22.588,-2.335,77
91,90,3.116262295081967,22.927,-1.914,74
92,91,3.150887431693989,23.401,-3.252,73
93,92,3.185512568306011,22.102,-3.617,74
94,93,3.2201377049180326,22.956,-1.709,77
95,94,3.2547628415300545,23.511,-2.466,77
96,95,3.2893879781420767,22.41,-2.402,75
97,96,3.3240131147540986,23.748,-2.469,81
98,97,3.3586382513661204,21.7,-2.828,75
99,98,3.393263387978142,22.624,-1.848,87
100,99,3.427888524590164,22.521,-2.172,72
101,100,3.462513661202186,22.394,-1.965,71
102,101,3.4971387978142077,22.025,-1.799,82
103,102,3.5317639344262295,23.049,-2.98,81
104,103,3.5663890710382513,22.447,-1.76,79
105,104,3.601014207650273,22.912,-1.95,79
106,105,3.635639344262295,22.813,-2.012,76
107,106,3.670264480874317,20.722,-3.147,71
108,107,3.7048896174863386,23.027,-1.449,75
109,108,3.739514754098361,22.313,-0.924,77
110,109,3.7741398907103827,22.718,-2.564,75
111,110,3.8087650273224045,22.273,-3.535,82
112,111,3.8433901639344263,22.803,-1.693,78
113,112,3.878015300546448,23.612,-2.723,74
114,113,3.91264043715847,22.567,-1.909,74
115,114,3.947265573770492,22.302,-2.286,77
116,115,3.9818907103825136,22.338,-2.155,79
117,116,4.016515846994536,22.946,-0.41,74
118,117,4.051140983606557,22.741,-1.768,76
119,118,4.0857661202185795,22.865,-3.826,77
120,119,4.120391256830601,22.391,-1.474,72
121,120,4.155016393442623,22.104,-1.824,77
122,121,4.189641530054645,21.987,-1.919,75
123,122,4.224266666666667,20.734,-2.622,75
124,123,4.258891803278688,21.328,-1.122,79
125,124,4.2935169398907105,22.219,-2.032,67
126,125,4.328142076502732,22.394,-2.019,74
127,126,4.362767213114754,23.115,-1.127,80
128,127,4.397392349726776,22.084,-2.293,70
129,128,4.432017486338798,21.872,-1.94,72
130,129,4.46664262295082,21.893,-1.794,76
131,130,4.501267759562841,22.108,-1.891,72
132,131,4.535892896174864,22.986,-2.074,79
133,132,4.570518032786885,22.587,-2.258,80
134,133,4.605143169398907,22.66,-2.152,82
135,134,4.639768306010929,22.267,-2.018,75
136,135,4.674393442622951,22.65,-2.852,68
137,136,4.709018579234972,21.743,-2.376,75
138,137,4.743643715846995,20.961,-1.681,75
139,138,4.778268852459016,22.176,-2.001,73
140,139,4.812893989071038,21.874,-2.661,83
141,140,4.8475191256830605,22.295,-2.301,72
142,141,4.882144262295082,21.52,-1.26,80
143,142,4.916769398907104,22.152,-1.841,77
144,143,4.951394535519126,21.793,-1.616,77
145,144,4.986019672131148,21.963,-1.657,85
146,145,5.020644808743169,22.275,-2.183,77
147,146,5.0552699453551915,21.624,-3.138,82
148,147,5.089895081967213,22.481,-2.054,68
149,148,5.124520218579235,21.284,-2.654,65
150,149,5.1591453551912565,22.156,-2.04,74
151,150,5.193770491803279,21.962,-2.288,77
152,151,5.2283956284153,22.932,-1.392,73
153,152,5.263020765027322,22.234,-2.068,74
154,153,5.297645901639345,22.465,-2.213,77
155,154,5.332271038251366,23.662,-1.832,74
156,155,5.366896174863388,23.096,-1.086,79
157,156,5.40152131147541,22.051,-2.252,80
158,157,5.436146448087432,21.885,-2.292,82
159,158,5.470771584699453,22.593,-2.375,92
160,159,5.505396721311476,22.262,-2.205,74
161,160,5.540021857923497,21.998,-1.766,72
162,161,5.574646994535519,22.491,-1.903,75
163,162,5.609272131147541,22.365,-2.1,79
164,163,5.643897267759563,22.082,-2.14,85
165,164,5.678522404371585,22.951,-2.95,73
166,165,5.7131475409836066,22.289,-2.244,71
167,166,5.747772677595629,22.128,-2.409,74
168,167,5.78239781420765,21.493,-3.075,76
169,168,5.8170229508196725,21.61,-3.059,83
170,169,5.851648087431694,21.882,-1.911,70
171,170,5.886273224043716,20.441,-0.221,58
172,171,5.9208983606557375,12.636,-4.17,65
173,172,5.95552349726776,9.96,-3.022,71
174,173,5.990148633879781,17.622,-2.94,46
175,174,6.024773770491803,26.315,-2.283,46
176,175,6.059398907103825,37.391,-3.215,67
177,176,6.094024043715847,33.296,-2.275,68
178,177,6.128649180327869,22.383,-3.789,42
179,178,6.163274316939891,10.014,-3.125,65
180,179,6.197899453551913,8.915,-2.611,73
181,180,6.232524590163934,15.234,-1.838,61
182,181,6.267149726775957,25.989,-1.777,37
183,182,6.301774863387978,37.741,-2.758,76
184,183,6.3364,33.358,-3.304,82
185,184,6.371025136612022,25.575,-5.361,40
186,185,6.405650273224044,10.608,-2.441,62
187,186,6.440275409836065,10.078,-1.93,73
188,187,6.4749005464480875,15.173,-1.583,58
189,188,6.509525683060109,24.153,-2.874,55
190,189,6.544150819672131,34.646,-2.135,74
191,190,6.5787759562841535,33.018,-3.157,76
192,191,6.613401092896175,21.84,-2.889,50
193,192,6.648026229508197,12.462,-2.459,62
194,193,6.6826513661202185,8.058,-1.724,73
195,194,6.717276502732241,11.543,-4.001,63
196,195,6.751901639344262,25.041,-2.319,50
197,196,6.786526775956284,34.87,-2.795,74
198,197,6.821151912568306,34.329,-4.247,74
199,198,6.855777049180328,22.342,0.157,46
200,199,6.890402185792349,13.426,-2.753,54
201,200,6.925027322404372,8.835,-1.874,72
202,201,6.959652459016393,12.573,-0.549,54
203,202,6.994277595628415,24.125,-1.46,58
204,203,7.028902732240438,33.985,-3.985,79
205,204,7.063527868852459,34.452,-2.177,84
206,205,7.098153005464481,25.628,-2.717,54
207,206,7.132778142076503,13.86,-2.298,57
208,207,7.167403278688525,9.736,-4.422,76
209,208,7.202028415300546,12.36,-3.464,72
210,209,7.2366535519125685,23.476,-3.329,42
211,210,7.27127868852459,32.522,-3.757,67
212,211,7.305903825136612,32.767,-1.937,69
213,212,7.340528961748634,25.004,-1.72,48
214,213,7.375154098360656,12.482,-7.231,42
215,214,7.409779234972677,8.822,-4.096,69
216,215,7.4444043715846995,11.039,-2.934,68
217,216,7.479029508196722,22.068,-1.37,55
218,217,7.513654644808743,32.058,-3.208,72
219,218,7.548279781420765,33.625,-3.461,75
220,219,7.582904918032787,27.344,0.131,58
221,220,7.617530054644809,15.539,-0.788,53
222,221,7.65215519125683,9.487,-3.338,76
223,222,7.686780327868853,11.11,-2.101,65
224,223,7.721405464480874,18.695,-1.671,37
225,224,7.756030601092896,31.713,-3.923,66
226,225,7.790655737704918,34.935,-1.551,68
227,226,7.82528087431694,26.544,-2.768,61
228,227,7.859906010928961,17.44,-1.717,48
229,228,7.894531147540984,9.903,-2.008,68
230,229,7.929156284153006,11.917,-1.241,79
231,230,7.963781420765027,18.086,-1.764,43
232,231,7.9984065573770495,30.484,-3.49,65
233,232,8.033031693989072,35.675,-1.07,77
234,233,8.067656830601093,27.957,-0.091,63
